Time (s) Run #1,Position (mm) Run #1,Light Intensity (%) Run #1,Log of Light Intensity Run #1,,,,"ampiezza fenditure: 0,16 mm"
0,"0,67","0,8","1,9",,,,L=90 cm
"0,02","0,72","0,8","1,9",,,,f=50 Hz
"0,04","0,75","0,8","1,9",,,,intensità: media
"0,06","0,81","0,8","1,9",,,,
"0,08","0,85","0,8","1,9",,,,FARE GRAFICO INTENSITà POSIZIONE (quello sotto è tempo posizione)
"0,1","0,91","0,8","1,9",,,,
"0,12","0,96","0,8","1,9",,,,
"0,14","1,01","0,8","1,9",,,,
"0,16","1,06","0,8","1,9",,,,
"0,18","1,11","0,8","1,9",,,,
"0,2","1,16","0,8","1,9",,,,
"0,22","1,21","0,8","1,9",,,,
"0,24","1,25","0,8","1,9",,,,
"0,26","1,29","0,8","1,9",,,,
"0,28","1,33","0,8","1,9",,,,
"0,3","1,37","0,8","1,9",,,,
"0,32","1,4","0,8","1,9",,,,
"0,34","1,44","0,8","1,9",,,,
"0,36","1,48","0,8","1,9",,,,
"0,38","1,52","0,8","1,9",,,,
"0,4","1,56","0,8","1,9",,,,
"0,42","1,59","0,8","1,9",,,,
"0,44","1,63","0,8","1,9",,,,
"0,46","1,68","0,8","1,9",,,,
"0,48","1,73","0,8","1,9",,,,
"0,5","1,78","0,8","1,9",,,,
"0,52","1,83","0,8","1,9",,,,
"0,54","1,87","0,8","1,9",,,,
"0,56","1,91","0,8","1,9",,,,
"0,58","1,94","0,8","1,9",,,,
"0,6","1,97","0,8","1,9",,,,
"0,62",2,"0,8","1,9",,,,
"0,64","2,02","0,8","1,9",,,,
"0,66","2,04","0,8","1,9",,,,
"0,68","2,06","0,8","1,9",,,,
"0,7","2,08","0,8","1,9",,,,
"0,72","2,11","0,8","1,9",,,,
"0,74","2,14","0,8","1,9",,,,
"0,76","2,17","0,8","1,9",,,,
"0,78","2,2","0,8","1,9",,,,
"0,8","2,23","0,8","1,9",,,,
"0,82","2,26","0,8","1,9",,,,
"0,84","2,3","0,8","1,9",,,,
"0,86","2,33","0,8","1,9",,,,
"0,88","2,36","0,8","1,9",,,,
"0,9","2,39","0,8","1,9",,,,
"0,92","2,42","0,8","1,9",,,,
"0,94","2,46","0,8","1,9",,,,
"0,96","2,5","0,8","1,9",,,,
"0,98","2,54","0,8","1,9",,,,
1,"2,59","0,8","1,9",,,,
"1,02","2,63","0,8","1,9",,,,
"1,04","2,68","0,8","1,9",,,,
"1,06","2,73","0,8","1,9",,,,
"1,08","2,77","0,8","1,9",,,,
"1,1","2,82","0,8","1,9",,,,
