Time (s) Run #1,Position (mm) Run #1,Light Intensity (%) Run #1,Log of Light Intensity Run #1,,,,"ampiezza fenditure: 0,08 mm"
0,"1,31","0,7","1,9",,,,"distanza tra fenditue: 0,5 mm"
"0,02","1,39","0,7","1,9",,,,L=90 cm
"0,04","1,49","0,8","1,9",,,,f=50 Hz
"0,06","1,57","0,8","1,9",,,,intensità: media
"0,08","1,68","0,8","1,9",,,,
"0,1","1,79","0,8","1,9",,,,
"0,12","1,9","0,7","1,9",,,,
"0,14","2,02","0,7","1,9",,,,
"0,16","2,15","0,7","1,9",,,,FARE GRAFICO INTENSITà POSIZIONE
"0,18","2,27","0,7","1,8",,,,
"0,2","2,38","0,7","1,8",,,,
"0,22","2,49","0,7","1,9",,,,
"0,24","2,58","0,7","1,9",,,,
"0,26","2,66","0,7","1,9",,,,
"0,28","2,73","0,7","1,9",,,,
"0,3","2,79","0,7","1,9",,,,
"0,32","2,83","0,7","1,9",,,,
"0,34","2,86","0,7","1,9",,,,
"0,36","2,88","0,7","1,9",,,,
"0,38","2,9","0,7","1,9",,,,
"0,4","2,93","0,7","1,9",,,,
"0,42","2,95","0,7","1,9",,,,
"0,44","2,98","0,7","1,9",,,,
"0,46",3,"0,7","1,9",,,,
"0,48","3,02","0,7","1,9",,,,
"0,5","3,06","0,7","1,9",,,,
"0,52","3,08","0,7","1,8",,,,
"0,54","3,09","0,7","1,9",,,,
"0,56","3,11","0,7","1,9",,,,
"0,58","3,13","0,7","1,8",,,,
"0,6","3,16","0,7","1,9",,,,
"0,62","3,19","0,7","1,8",,,,
"0,64","3,23","0,7","1,8",,,,
"0,66","3,28","0,7","1,9",,,,
"0,68","3,33","0,7","1,8",,,,
"0,7","3,38","0,7","1,8",,,,
"0,72","3,44","0,7","1,9",,,,
"0,74","3,5","0,7","1,9",,,,
"0,76","3,58","0,7","1,9",,,,
"0,78","3,66","0,7","1,8",,,,
"0,8","3,75","0,7","1,8",,,,
"0,82","3,86","0,7","1,9",,,,
"0,84","3,98","0,7","1,8",,,,
"0,86","4,11","0,7","1,8",,,,
"0,88","4,23","0,7","1,8",,,,
"0,9","4,36","0,7","1,8",,,,
"0,92","4,48","0,7","1,8",,,,
"0,94","4,62","0,7","1,9",,,,
"0,96","4,75","0,7","1,9",,,,
